"Priority","Case ref","Case Age Old","Status","Sub Region Name","Machine Down Status","End User Name","MD Duration","HP Product","Case Subject","Assignment group","Escalation Level","Case Category","Case Subcategory","External Comments","Internal comments","Closure Note          (Customer Visible)","Closure Note         (Internal)","Customer Feedback","CSAT Customer Survey Score","Cause Code L1","Cause Code L2","Cause Code L3"
"2 - High","CS21540816","4500","Work In Progress","CEE","MD","Inform Lykos Romania","0","HP PWI T240HD","IPC error 2505","WW PWP RS","Care Center","Break & Fix","Vision System","2025-12-03 12:07 - Marco Fernández (DFE) (External Comments)
No, its not critical as vision can still read printhead health and aligment data, you can run the press without issues. 
Just keep it in mind to do it in the future if you want brighter images on the vision

2025-12-03 12:03 - Ovidiu Puscas (External Comments)
Marco? if is important to do the flatfield cal now, i can do it, no problem.

2025-12-03 11:58 - Ovidiu Puscas (External Comments)
if you're ok with this too, of course.

2025-12-03 11:56 - Ovidiu Puscas (External Comments)
I did in the past a flatfield calibration, but can we do it in another day please? Because we have some urgent print that is waiting for us. :)

2025-12-03 11:54 - Marco Fernández (DFE) (External Comments)
Were the images on both sides brighter before Ovi intervention? 

Are you or Ovi trained on how to run a flatfield calibration in order to calibrate the lighting?

2025-12-03 11:51 - Ovidiu Puscas (External Comments)
I don't know what really happen but now is working, but with dark images and warning on IPC. Maybe from the software restart?!

2025-12-03 11:43 - Marco Fernández (DFE) (External Comments)
The aligment issues you mention should be gone after  applying the updates and running a second calibration

2025-12-03 11:42 - Ovidiu Puscas (External Comments)
Done with startup calibration.
Still we have something now on the alignment. Till now doesn't appear nothing.

2025-12-03 11:42 - Marco Fernández (DFE) (External Comments)
I have read the case notes on the older case and seen the calibration resulTS.

To me it seems Ovi solved the issue yesterday after replacing the PSU, and now the IPC is working as expected providing images on both sides.

2025-12-03 11:36 - Ovidiu Puscas (External Comments)
CS21536813 - this is the inital case opened by Ovi but i choose to open a new one because there no one answered. If you can read there to update.

2025-12-03 11:32 - Ovidiu Puscas (External Comments)
hello Marco,

Yes i will run a startup cal right now.

Cristi.

2025-12-03 11:18 - Marco Fernández (DFE) (External Comments)
Good morning Ovi,
I have connected to MP394 and IPC seems to be fine. 

Could you run a calibration so I can see the error you are referring to?

Best Regards,
Marco

2025-12-03 10:53 - Ovidiu Puscas (External Comments)
Hello, 

Need support with IPC issue please.

Thank you.

","","","","","","","",""
"3 - Moderate","CS21540175","9600","Work In Progress","Italy","Not MD","ELCOGRAF","0","HP PWI T490M","guasto","WW PWP RS","Care Center","Break & Fix","Print Quality","2025-12-03 10:43 - Mattia Andreis (External Comments)
abbiamo risolto facendo una calibrazione in modalità predefinita.
possiamo chiudere il caso. grazie

2025-12-03 09:40 - Mattia Andreis (External Comments)
Buongiorno, abbiamo un problema di sdoppiamento sull'arco 2. allego foto. grazie

2025-12-03 09:37 - Mattia Andreis (External Comments)
deleted an attachment

2025-12-03 09:35 - Mattia Andreis (External Comments)
Attachment uploaded to the case

2025-12-03 09:34 - Mattia Andreis (External Comments)
Attachment uploaded to the case

2025-12-03 09:30 - Mattia Andreis (External Comments)
Attachment uploaded to the case

2025-12-03 09:30 - Mattia Andreis (External Comments)
Attachment uploaded to the case

","","","","","","","",""
"3 - Moderate","CS21536718","75300","New","NA West","",".RR Donnelley / Veritas Document Solution","0","HP PWI T200","MP12/NBF/Preventive Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 15:15 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=3ae2e08ec3edf250197db4511501312c'target='_blank'> CSTASK0382232</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21533147","109680","Work In Progress","AP","Not MD","Repro India Ltd","0","HP PWI T240HD","imposetrip working slow","WW PWP RS","Care Center","Break & Fix","Compute System HW","2025-12-02 12:24 - Erwin Centino Sister (CCE) (External Comments)
Had a Hololense and Teams Session with Repro Team and Local FSE in performing Load Cell Calibration and also answered some important questions from the Team onsite.

2025-12-02 08:29 - MANISH SAHNEY (External Comments)
ok

2025-12-02 07:49 - Erwin Centino Sister (CCE) (External Comments)
Hi Manish,

I noticed this file is huge. I used Adobe Preflight and tried to Optimize the file. I will re-attach it on this case, please try to impose if there is difference in imposition speed.

2025-12-02 06:46 - MANISH SAHNEY (External Comments)
we have noticed this particular file is taking unusual time while processing (only one file is being imposing at a time) #Note :- just suspecting not sure.

2025-12-02 06:43 - MANISH SAHNEY (External Comments)
Attachment uploaded to the case

2025-12-02 06:36 - MANISH SAHNEY (External Comments)
yes

2025-12-02 06:12 - Seungmin Lee (FSE) (External Comments)
Hello, have you restarted impostrip?

2025-12-02 05:45 - MANISH SAHNEY (External Comments)
this issue facing again and again please resolve

2025-12-02 05:41 - MANISH SAHNEY (External Comments)
imposetrip working slow.only one server pick the files

2025-12-02 05:40 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","","","","","","","",""
"3 - Moderate","CS21538660","41700","Work In Progress","NA East","Not MD","Westrock","0","HP PWI T1190","RS36 / Phone / Recurring issues with violet circuit overpressure","AMS PWP T2","Field","Break & Fix","IDS/ RITS","","2025-12-03 00:37 - Phil Robins (RSE) (Internal comments)
Brief description of the problem 
Collin (404.268.4840) reporting more recurrence with violet circuit overpressure.
What troubleshooting was done?
Alarm is violet overpressure.
Pump was replaced earlier but, recurrence is periodically stopping the press.
Westrock team has been fighting this for a while.
Assigning to HP FSE, Sam, for onsite visit early Wednesday, 12/3/2025.
Is Press Down?
No.  Press will run for a while after putting IDS in manual mode and toggling a few times.
WHAT is the defect? (Blurry text, Skew, Banding, Misalignment, Error Code….):
Violet circuit overpressure.
WHERE is the defect located? (Specific press? Specific PH?  Slice, Specific Printbar? Specific Arch?):
IDS
WHEN did the issue start? (Date and time, 20 min after start printing, upon startup after the weekend, after PCR upgrade, new job, planned maintenance, etc.):

EXTENT of the defect (Intermittent or All the Time):
Becoming more consistent but, press will run with annoying workaround.
Is this a repeat issue in the last 14 days?
Yes.  Not recorded as recurring.
SNOW Case Number
CS21538660
Have Parts been Ordered
No
Part Order Status - Ordered or Back Ordered

Has the case been elevated?
No.

2025-12-03 00:33 - Phil Robins (RSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=6a82e20ac3adb6509db2b610a0013139 'target='_blank'>VST12917259</a>[/code] has been created

","","","","","","",""
"2 - High","CS21537118","70980","Resolved","NA East","Not MD","Books International Inc","0","HP PWI T490M"," XP361 Pre rip degraded","WW PWP RS","Care Center","Break & Fix","Compute System HW","2025-12-02 22:17 - Dustin Dang (RSE) (External Comments)
Closure notes: Drive replaced

","2025-12-02 22:17 - Dustin Dang (RSE) (Internal comments)
State for case task CSTASK0382282 changed to Closed

2025-12-02 21:33 - Tom Koch (RSE) (Internal comments)
Jeff Judy regional service manager from PPT called to update. PPT FE has part in hand and is either already on site or just  a few minutes out and in contact with Greg on site. @Camron Becker (FSE)

2025-12-02 17:20 - Dustin Dang (RSE) (Internal comments)
Can has been opened with Park Place.
Case SV1816144

2025-12-02 16:32 - Camron Becker (FSE) (Internal comments)
Please include me in all emails about the issue.

2025-12-02 16:30 - Camron Becker (FSE) (Internal comments)
I have posted screen shots in case notes if needed.

2025-12-02 16:29 - Camron Becker (FSE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=95c3344247a9f250b1601fc1e26d4331'target='_blank'> CSTASK0382282</a>[/code] has been created

2025-12-02 16:26 - Camron Becker (FSE) (Internal comments)
Screenshot 2025-12-02 10:26.png copy/pasted into the case

","Drive replaced","","","","Compute System HW","Server Components","Replaced Part"
"3 - Moderate","CS21537520","66060","Work In Progress","NA West","Not MD","Thysse Printing Service, Inc.","0","HP PWI A2200","DP24 / Phone / No maintenance information posted on press","AMS PWP T3","Tech Group","Break & Fix","Press Software","2025-12-02 22:02 - DENIS TSEKHANOVICH (CCE) (External Comments)
Hi,
Maintenance list is active now.
Service responsible for displaying and monitoring maintenance activities  had issues, so certain software bits had to be re-deployed.

Thank you!

2025-12-02 17:47 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-02 21:59 - DENIS TSEKHANOVICH (CCE) (Internal comments)
Screenshot 2025-12-02 12:59.png copy/pasted into the case

2025-12-02 21:52 - DENIS TSEKHANOVICH (CCE) (Internal comments)
Re-deploying SPC bits that include maintenance related packages.

2025-12-02 21:40 - DENIS TSEKHANOVICH (CCE) (Internal comments)
Logs at /var/log/ihps/maintenance-next indicate java error, maintenance service is not running.

2025-12-02 21:39 - DENIS TSEKHANOVICH (CCE) (Internal comments)
Screenshot 2025-12-02 12:39.png copy/pasted into the case

2025-12-02 17:57 - Phil Robins (RSE) (Internal comments)
Elevating to T3
Maintenance minder on press GUI indicating 0 items pending.
Customer knows there are items to be addressed.  Changed the time frame (last 7 days, last 31 days, All) and no difference.  No maintenance is critical at this time.
Rebooting DLS and restarting SW did not resolve.
Customer contact:  Nathan (608-333-7562)

2025-12-02 17:53 - Phil Robins (RSE) (Internal comments)
Rebooting DLS and restarting SW did not change listing - still indicates 0.

2025-12-02 17:52 - Phil Robins (RSE) (Internal comments)
Screenshot 2025-12-02 08:52.png copy/pasted into the case

2025-12-02 17:47 - Phil Robins (RSE) (Internal comments)
Known SW issue.
Rebooted DLS.

","","","","","","",""
"3 - Moderate","CS21536759","74820","New","NA West","",".RR Donnelley / Veritas Document Solution","0","HP PWI T230","MP223/NBF/Preventive Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 15:24 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=abe4e88a8361f250977613b6feaad360'target='_blank'> CSTASK0382244</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21532554","129600","Work In Progress","Germany","Not MD","Onlineprinters GmbH","0","HP PWI T250HD","MP462 / Onlineprinters GmbH / PrintOS / BF / Dryer Issues","EMEA GE South - PWP T2","Field","Break & Fix","Dryer","2025-12-02 00:14 - Miguel Perez (FSE) (External Comments)
Per your request, we will proceed to generate a visit of a technician.

2025-12-02 00:08 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-02 09:56 - Joerg Berghoefer (FSE) (Internal comments)
Rejected by berghoefer@hp.com

2025-12-02 09:41 - Reiner Buettner (FSE) (Internal comments)
Rejected by buettner@hp.com

2025-12-02 00:16 - Miguel Perez (FSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=cb059939c3e5fe10876cdc11150131c1 'target='_blank'>VST12912407</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21538441","51780","Work In Progress","UKI","Not MD","CPI Antony Rowe Chippenham","0","HP PWI T350","SP09A - Ids and pen fault","UK - PWP T2","Field","Break & Fix","Press Hardware - Other","2025-12-03 11:48 - Martin Slade (SPE) (External Comments)
I have checked the ink system throughout. I cannot see any air in the lines, the pressure gauges are all reading between 6 and 7 kPa, and the pumps are both running at a reasonable speed - 34 and 27 respectively. I can see on the printed output samples left by the operators lots of streaks in black, some pen stitch misalignments, and die uniformity anomalies.
The only way to resolve these issues is to run multiple SUCs and accept each result as it progresses. It is likely that the customer will see some more pen failures as a result of the air starvation. Unfortunately there is no way to mitigate that since press has run for 24h since meaning that the septums no longer need bleeding.

2025-12-03 08:37 - Q1 CPIARC (External Comments)
Just to update, 
The issue isn't an air leak, just air in system after a filter change. The system was run for the night after the change and the BA wasn't connected. 
This was only noticed in the morning at around 0700 yesterday. The air mostly was in and around Arch 1 BA, but obviously in the system in general. 
Balanced out motor pulling percentages, over the last 24hrs black has come down to it's SP of 26   BA is currently on 33 with a SP of 26. 

Will keep an eye on it until Martin arrives and hand over to him 

Jon

2025-12-02 23:19 - Q4 CPIARC (External Comments)
well done Tom .

2025-12-02 22:55 - Tom Koch (RSE) (External Comments)
I have created a dispatch for an engineer to find the source of the leak

","2025-12-03 11:49 - Martin Slade (SPE) (Internal comments)
A visit VST12917162 has been closed

2025-12-03 11:42 - Martin Slade (SPE) (Internal comments)
The L3 operator bypassed the printbar ink lines to change the ink filters but afterwards forgot to put the ink lines back to the normal run position before handing the press back,  meaning that ALL of the pens on the press eventually became starved of ink. In all 40 pens were replaced overnight - 32 BA and 8 black.
Adding @Didier Casier (ASM) for visibility.

2025-12-02 22:54 - Tom Koch (RSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=81eb8a8a3b61b650dba7da2a85e45a0b 'target='_blank'>VST12917162</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21538434","51780","Work In Progress","NA East","Not MD","West Publishing Supply Services","0","HP PWI T485","XP400 / Email / Main nip roller on exit of dryer 2 is grooved","AMS PWP T2","Field","Break & Fix","Paper Path","","2025-12-02 21:45 - Phil Robins (RSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=d90c3182c3e976509db2b610a001312e 'target='_blank'>VST12917105</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21536751","74820","New","NA East","","CPI Card Group","0","HP PWI A2200","DP39/NBF/Preventive Maintenance to Be Performed By FSE","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 15:27 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=c98568ce4721f250b1601fc1e26d43d4'target='_blank'> CSTASK0382246</a>[/code] has been created

2025-12-02 15:18 - Rodrigo Juarez (RSE) (Internal comments)
Hello,
Could you please assist me in case and WO creation for the attached list of presses. 
All identical case creation, XX in total, with the Latest Start Date Time Customer 30 days from the date of WO creation at 5pm.


New Case
Activity Type : Preventive Maintenance
Priority           : 3 - Normal
Severity          : 3 – Normal
Case Type:   Proactive
Issue Description  : (Press ID) Preventive Maintenance
Symptom Code (Top Category) :  Graphics : PWP: Press
Symptom Code (Sub Category) :  PM / Part Order / Training / Onsite
System Code (Specific Symptom) : Preventive Maintenance Required ( PM / Part Order / Training /Onsite )
Type Of Order Needed : New Work Order
Incident type: Preventative Maintenance 
Work Order Description: (Press ID) Preventative Maintenance 
Work Order Type: Preventative Maintenance


All cases are for "" Preventive Maintenance to Be Performed By FSE""

","","","","","","",""
"3 - Moderate","CS21532849","115560","Work In Progress","NA West","Not MD","Documation LLC","0","HP PWI T250HD","MP29/phone/Yellow reservoir not filling up","AMS PWP T2","Field","Break & Fix","IDS/ RITS","","2025-12-02 04:50 - Diego1 Martinez (FOA) (Internal comments)
State for case task CSTASK0382023 changed to Closed

2025-12-02 04:49 - Diego1 Martinez (FOA) (Internal comments)
From: HP Industrial Print <ServiceCenter@IndustrialPrint.hp.com> 
Sent: Monday, December 1, 2025 9:14 PM
To: PWP Tier0 Support <dispatchihps@hp.com>
Subject: Action Task CSTASK0382023 for Documation LLC , MP29 , 3 - Moderate , Not MD , CS21532849 was created by Seungmin Lee (FSE)

Action Task CSTASK0382023 for Documation LLC,Case ID: CS21532849
was created by Seungmin Lee (FSE),cell phone number: .
Serial number: US1210M001
Issue: MP29/phone/Yellow reservoir not filling up
Problem Description: MP29/phone/Yellow reservoir not filling up
Task Description : Dear Tier 0,

Please dispatch the FSE by tomorrow morning. 

Thank you.
 
Ref:MSG33085099
---------------------------------------------
From: PWP Tier0 Support <dispatchihps@hp.com> 
Sent: Monday, December 1, 2025 9:48 PM
To: Lee, Seungmin <seungmin.lee@hp.com>
Cc: PWP Tier0 Support <dispatchihps@hp.com>
Subject: MP29 | Documation LLC | AMS | Machine Degraded: 2 - Critical Degraded | CS21532849-5152462675 | Yellow reservoir not filling up

Greetings,

This e-mail is to inform you that I have created a new WO for you.

Press: MP29
Customer: Documation LLC
Case: CS21532849-5152462675
Problem Description: Yellow reservoir not filling up
Press Status: Machine Degraded: 2 - Critical Degraded
Operations Performed: B&H
Work Order: WO-032690475

Thank you for taking the time to go through this.
If you have any doubt, please feel free to contact dispatchihps@hp.com

Best regards,

Diego Martinez
AH Care Center Agent
HP Inc Americas Graphics Solutions Services 
T + 1 800 204 63 44

2025-12-02 04:43 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=0622deb58329fe10977613b6feaad302'target='_blank'> CSTASK0382026</a>[/code] has been created

2025-12-02 04:12 - Seungmin Lee (FSE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=221b8671c329fe10197db4511501315e'target='_blank'> CSTASK0382023</a>[/code] has been created

2025-12-02 04:12 - Seungmin Lee (FSE) (Internal comments)
Screenshot 2025-12-02 12:12.png copy/pasted into the case

","","","","","","",""
"3 - Moderate","CS21536601","76440","Work In Progress","UKI","Not MD","Mimeo","0","HP PWI T250HD","100gsm Back Up incorrect","WW PWP RS","Care Center","Break & Fix","Press Software","2025-12-03 08:49 - Victor Martin (DFE) (External Comments)
Morning Mike,

The data is still being uploaded to the HP servers, I am still unable to check tensions/signals from yesterday 10-12:30 runs.

I will as soon as I can, keep you updated.

Thanks
Victor

2025-12-02 15:40 - Victor Martin (DFE) (External Comments)
Thank you Mike, 

I believe we have enough info to start investigating, we are going to check logs during the day but late this evening your press will send the tension data to our servers so we can analyze them tomorrow morning.

I keep you updated.

2025-12-02 15:35 - Mike Tiley (External Comments)
And yes, it seems that it happens every time we run this particular stock

2025-12-02 15:34 - Mike Tiley (External Comments)
We ran this reel this morning between 10.30am - 12pm. Job name is 02-1106-01172-74237_100gsm
There is a V2 v3 & v4 still on the press. Once we printed, it wouldnt resend to print again.

2025-12-02 15:27 - Victor Martin (DFE) (External Comments)
Good afternoon Mike,

Do you have any approximate timestamp/job name or something that could help us to look to the appropriate data in your system?

I would start checking tensions/encoder signals for the runs using this paper/production but for that I would need to know when this has happened.

Is this happening every time you are running this stock? It is something easy  reproducible from your side?

Thank you!
Victor

","","","","","","","",""
"3 - Moderate","CS21532532","129840","Work In Progress","NA East","Not MD","SCI","0","HP PWI T300","SP20/Proactive/VS03 Hard Drive Bay 5","WW PWP RS","Care Center","Break & Fix","Vision System","2025-12-02 00:04 - Dustin Dang (RSE) (External Comments)
NA			SCI	SP20	4.0	4.1.1810-96 	vs03	WARNING	ProLiant DL380 Gen10	2M204604WS	(port 2I:box 3:bay 5, SAS HDD, 600 GB, Predictive Failure)	2025-12-01 12:34:08.735	RAID WARNING - Component Failure: HPE Smart Array P408i-a SR Gen10 in Slot 0 (Embedded) Array A logicaldrive 1 (1.09 TB, RAID 1+0, OK) physicaldrive 2I:3:5 (port 2I:box 3:bay 5, SAS HDD, 600 GB, Predictive Failure)	Gen10


","2025-12-02 00:13 - Dustin Dang (RSE) (Internal comments)
PWI Proactive Case	 

Hard Drive Replacement 

1 December 2025

 
Hello Ronnie @ SCI
As part of your HP Predictive Press Care service, we have been remotely monitoring your HP press and wanted to share with you that on 12/1/2025 we observed a hard drive issue with your press. A service request has been placed with Park Place Technologies. You will receive the replacement and/or will be contacted by the technician to schedule an onsite visit. Please contact our Call Center if you need assistance.	 
HP Case Number	CS21532532
Park Place Case Number	SV1815769

Severity	1-Down ☐;  2-Degraded☒

Request Type	1-Onsite Support ☐ ; 2-Part Only ☒

Press Number	SP20
System Location/ Main Component Description and Model / Serial Number	VISION RACK
Host: VS03 Server
Model : ProLiant DL380 Gen10
SN: 2M204604WS	
 
Problem description	Hard drive failure bay 5

Consolidated Error Report: Controller: HPE Smart Array P408i-a SR Gen10 in Embedded Slot Device: Physical Drive (600 GB SAS HDD) 2I:3:5 Severity: Warning Message: Physical drive status: Predictive failure. This physical drive is predicted to fail soon.

This server has a RAID configuration with mirroring and striping. New hard drive is hot swappable and will automatically rebuild upon replacement.


Drive Bay ID	 



HP Support	Contact HP Call Center if you need assistance.

North America 1.877.431.3693
U.K +44 2034 503769
Email: IHPSCallCenter@hp.com

","","","","","","",""
"3 - Moderate","CS21537347","68520","Work In Progress","NA West","Not MD","RR Donnelley - Houston","0","HP PWI A2200","DP62 -Job Previewer does not display a preview","AMS PWP T3","Tech Group","Break & Fix","Press Software","2025-12-02 22:40 - Tom Koch (RSE) (External Comments)
Hi Irvin, I have elevated this case to our higher level engineering team to continue to investigate.

2025-12-02 21:44 - Tom Koch (RSE) (External Comments)
I ran the purge all and unfortunately it seems like it did not help the speed. Our team is going to continue to look into it but in the meantime the previewer is functional it just takes a very long time to load.

2025-12-02 20:24 - Irvin Hood (External Comments)
yes please run the purge all script

2025-12-02 19:21 - Tom Koch (RSE) (External Comments)
Purge all is a script that we can run for you. It purges all of the data in the DFE including all of the jobs on the job submission page.

2025-12-02 19:19 - Irvin Hood (External Comments)
When you state purge all, what exactly am I purging?

2025-12-02 18:39 - Tom Koch (RSE) (External Comments)
Hi Irvin, I was able to get the previewer page functional, but it is currently running very slow and taking several minutes to ge the preview loaded. We've ran through troubleshooting and the next step to try to get the previewer running faster would be a purge all. We can either leave the previewer as is or try a purge all if it works for you guys

2025-12-02 17:31 - Tom Koch (RSE) (External Comments)
I am logging in to investigate

","2025-12-02 22:39 - Tom Koch (RSE) (Internal comments)
restarted previewer services on the prerip and App1, rebooted rips, prerip, and app1, and also ran a purge all. Job previewer is technically functional but it runs incredibly slow. Over 10 minutes to open the preview for USA today. Elevating to T3 team to find a workable solution.

2025-12-02 18:35 - Tom Koch (RSE) (Internal comments)
Screenshot 2025-12-02 09:35.png copy/pasted into the case

","","","","","","",""
"3 - Moderate","CS21537724","64080","New","NA West","","Direct Connect Group","0","HP PWI T250HD","MP493/ Preventative Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 18:29 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=6b3fcd0ac369b65069585223e40131a6'target='_blank'> CSTASK0382357</a>[/code] has been created

2025-12-02 18:19 - Angelica Luna (Internal comments)
Hey @PWP Tier0 Support
 
Could you please assist me in case creations for the attached list of Presses.
All identical case creations , 58 in total.  For 12/1/25. All for the same issue. (See 2 Attachments)
·      New Case
·      Activity Type : Preventive Maintenance
·      Priority           : 3 - Normal
·      Severity          : 3 – Normal
·      Issue Description  :  Preventive Maintenance
·      Symptom Code (Top Category) :  Graphics : PWP: Press
·      Symptom Code (Sub Category) :  PM / Part Order / Training / Onsite
·      System Code (Specific Symptom) : Preventive Maintenance Required ( PM / Part Order / Training /Onsite )
·      Type Of Order Needed : New Work Order


","","","","","","",""
"3 - Moderate","CS21538574","44940","Work In Progress","NA East","Not MD","King Printing Company Inc","0","HP PWI T380HD","SP32 | B&F | DFE not ripping and buffering JDF files sent via Connex","AMS PWP T2","Field","Break & Fix","Press Software","","2025-12-02 23:39 - Thiago Andrade (FSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=38269a4ac321ba50876cdc1115013190 'target='_blank'>VST12917191</a>[/code] has been created

2025-12-02 23:39 - Thiago Andrade (FSE) (Internal comments)
SP32 | B&F | DFE not ripping and buffering JDF files sent via Connex

Both presses SP32 and SP11 were shutdown for long weekend - Thanksgiving holiday, so early on Monday, Bowanie called me directly asking for help on it so I tried to help in the phone while driving, so we tried the procedure to clean JDF job history on APP1 but it did not help to solve the issue. 

I got onsite early in the morning in Dec/1 and was able to solve the problem, clearing the JDF job history and had to restart the ""IHPS"" + ""Apache"" services on Prerip.

I am opening this case to register the problem and apply my labor onsite.

Thank you!

Thiago Andrade

","","","","","","",""
"3 - Moderate","CS21538510","48300","New","NA East","","Lightning Source, Inc","0","HP PWI T240HD","MP355/BF/Preventative maintenance due","AMS PWI T0","","PM","","","2025-12-02 22:48 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=a99a8ac2c36df650197db45115013144'target='_blank'> CSTASK0382464</a>[/code] has been created

2025-12-02 22:43 - Angelica Luna (Internal comments)
From: Smartsheet Automation <automation@app.smartsheet.com> 
Sent: Tuesday, December 2, 2025 3:35 PM
To: PWP Tier0 Support <dispatchihps@hp.com>
Subject: Changes to Case Request Form: IPCS New Case Request Form

CAUTION: External Email 
 
 		


Changes to Case Request Form: IPCS New Case Request Form



 
 	 	Case Request Form 
 


 
 		 	 
 	Details 	Changes since 12/2/25, 1:32 PM	 
 		 	 
 	1 row added
________________________________________
 	1 row added or updated (shown in yellow) 
	Row 3142
	
Hide this field		
Created		12/02/25, 1:32 PM
Asset Tag		MP355
Region		West
Submitted By:		Jeff Rielley, jeffrey.rielley@bhemail.com, 615-977-9630

Type of Request		Case Request
Type of Case Needed		New Case
Asset & Company Name		MP355 Lightning Source
Issue Description/Case Subject		Preventative maintenance due
Case Priority		Low - Normal
Customer Contact Name		Jeff Rielley
Customer Contact Phone Number		+1 (615) 462-1779
Case Sub Category		Preventative Maintenance
Customer Case ID (CDAX / SNOW Case ID)		
Type of Follow up Needed		
Type of Order Needed		New Work Order
Symptom Code		
From Date (One Work Order per Day)		12/01/25
TIll Date		
Additional Note		
Trouble Shooting Actions		
Additional Email Address to Notify		
1. SAP Part Number		
1. Part Description		
Shipment Priority		
1. Part Quantity		
2. SAP Part Number 		
2. Part Description		
2. Part Quantity		
3. SAP Part Number		
3. Part Description		
3. Part Quantity		
Repeat issue 		No
If Repeat Issue then enter time frame.		
Case Category		
Product Line		UN
Channel		HP Inc
4. SAP Part Number		
4. Part Description		
4. Part Quantity		
5. SAP Part Number		
5. Part Description		
5. Part Quantity		

 	Changes made by web-form@smartsheet.com



","","","","","","",""
"3 - Moderate","CS21540547","7260","Work In Progress","NA West","Not MD","Wilen Vegas","0","HP PWI T250HD","MP501 - Phone - Error press job submission ","WW PWP RS","Care Center","Break & Fix","Press Hardware - Other","","2025-12-03 11:05 - Miguel Blanco Alvarez (DFE) (Internal comments)
Case already created in CS21485735.
In paralell we have to restart DFE services and press SW.

2025-12-03 10:26 - Miguel Blanco Alvarez (DFE) (Internal comments)
Screenshot 2025-12-03 10:26.png copy/pasted into the case

2025-12-03 10:26 - Miguel Blanco Alvarez (DFE) (Internal comments)
Screenshot 2025-12-03 10:26.png copy/pasted into the case

2025-12-03 10:25 - Miguel Blanco Alvarez (DFE) (Internal comments)
Screenshot 2025-12-03 10:25.png copy/pasted into the case

","","","","","","",""
"3 - Moderate","CS21536495","77400","New","NA West","","ONeil Digital Solutions","0","HP PWI T400","Preventive Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 14:40 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=3cfa5c829761f250cc16b266f053af5a'target='_blank'> CSTASK0382205</a>[/code] has been created

","","","","","","",""
